model,feature,group,importance
random_forest,Inactive_Ratio,subscriber_status,0.031060046087312502
random_forest,Active_Ratio,subscriber_status,0.029471701450447894
random_forest,Dormant_Ratio,subscriber_status,0.026826079270295698
random_forest,bg_latitude,geo_billing_zone,0.023336640027809424
random_forest,bg_place_name,geo_billing_zone,0.021271879009028535
random_forest,KA_name,customer_profile,0.020608168654646843
random_forest,Billing_ZIP_norm,geo_billing_zone,0.020483051781636705
random_forest,Not_Active_subscribers,subscriber_status,0.020012638710799183
random_forest,Billing_ZIP,customer_profile,0.018294536190860276
random_forest,municipality_nsi_working_working_age_total_ratio,public_demographics,0.016043402834604904
random_forest,bg_admin3_code,geo_billing_zone,0.015814660131308382
random_forest,municipality_nsi_population_rural,public_demographics,0.014951018391269368
random_forest,bg_distance_burgas_km,geo_billing_zone,0.013925081365272665
random_forest,CRM_PID_Value_Segment,customer_profile,0.013924280873162952
random_forest,bg_distance_varna_km,geo_billing_zone,0.013704213077266068
random_forest,bg_min_big_city_distance_km,geo_billing_zone,0.01308843879198434
random_forest,bg_distance_plovdiv_km,geo_billing_zone,0.013016600652971057
random_forest,bg_admin2_code,geo_billing_zone,0.012361232656532075
random_forest,bg_distance_sofia_km,geo_billing_zone,0.012316456339295902
random_forest,bg_longitude,geo_billing_zone,0.01168893867734299
random_forest,municipality_nsi_over_working_age_total_ratio,public_demographics,0.011542542681050384
random_forest,municipality_nsi_workage_population_total,public_demographics,0.011014434803451482
random_forest,municipality_nsi_under_working_age_total_ratio,public_demographics,0.011001928038983326
random_forest,nsi_municipality_norm,public_demographics,0.010789306005353758
random_forest,municipality_nsi_working_working_age_total,public_demographics,0.010079091910462051
random_forest,bg_admin2_name,geo_billing_zone,0.009794149167391193
random_forest,municipality_nsi_population_total,public_demographics,0.009701358634632472
random_forest,municipality_nsi_population_female,public_demographics,0.009687201881321631
random_forest,municipality_nsi_population_male,public_demographics,0.009407184627398972
random_forest,municipality_nsi_over_working_age_total,public_demographics,0.008815544315785396
random_forest,EffectiveSegment,customer_profile,0.008448741540342183
random_forest,municipality_nsi_population_male_ratio,public_demographics,0.00831226028053737
random_forest,municipality_nsi_population_urban_ratio,public_demographics,0.008146806428885794
random_forest,Suspended_Ratio,subscriber_status,0.008008235998549298
random_forest,municipality_nsi_population_rural_ratio,public_demographics,0.007946427796606603
random_forest,municipality_nsi_population_female_ratio,public_demographics,0.007937152683722588
random_forest,municipality_nsi_under_working_age_total,public_demographics,0.007648494684934216
random_forest,bg_admin1_name,geo_billing_zone,0.006618191155579053
random_forest,bg_admin1_code,geo_billing_zone,0.006597705544569089
random_forest,municipality_nsi_under_working_age_urban,public_demographics,0.006386657588411011
random_forest,bg_admin3_name,geo_billing_zone,0.006330161649985266
random_forest,municipality_nsi_working_working_age_urban,public_demographics,0.006220400555714441
random_forest,municipality_nsi_population_urban,public_demographics,0.005298104994671656
random_forest,municipality_nsi_over_working_age_urban,public_demographics,0.004689506543938129
random_forest,Suspended_subscribers,subscriber_status,0.004505480203283728
random_forest,nsi_district_norm,public_demographics,0.004023667798521401
random_forest,district_nsi_population_urban,public_demographics,0.0035544229426920358
random_forest,district_nsi_population_male_ratio,public_demographics,0.003422536021016477
random_forest,district_nsi_population_rural_ratio,public_demographics,0.003197222698686558
random_forest,Has_Inactive,subscriber_status,0.003111027209406338
random_forest,district_nsi_population_female_ratio,public_demographics,0.0028944581666396703
random_forest,district_nsi_population_rural,public_demographics,0.0028715446056936877
