member,source_group,source_weight,model,source_rows,source_churn_rate,val_best_f1,train_seconds,test_threshold,test_f1,test_precision,test_recall,test_roc_auc,test_average_precision,test_tn,test_fp,test_fn,test_tp
all|1|LGBM_balanced,all,1.0,LGBM_balanced,61240,0.27882103200522534,0.1657142857142857,1.815,0.19376763353079676,0.1907514450867052,0.13983050847457626,0.3,0.6136794893910644,0.10905010894990819,1378,203,77,33
ibm_cell|0.5|LGBM_regularized,ibm_cell,0.5,LGBM_regularized,58090,0.28541917713892234,0.1853146853146853,1.671,0.16944174332631803,0.19064124783362218,0.11777301927194861,0.5,0.6295411419699845,0.11476436945569096,1169,412,55,55
ibm_cell|1|LGBM_regularized,ibm_cell,1.0,LGBM_regularized,58090,0.28541917713892234,0.1790281329923274,1.643,0.18350366226470102,0.19,0.1310344827586207,0.34545454545454546,0.6213932493818642,0.1069079051796212,1329,252,72,38
cell|1|LGBM_regularized,cell,1.0,LGBM_regularized,51047,0.2881853977706819,0.180623973727422,1.733,0.17196247719793065,0.1858108108108108,0.11410788381742738,0.5,0.6312172963026853,0.11134628227442064,1154,427,55,55
all|0.5|LGBM_regularized,all,0.5,LGBM_regularized,61240,0.27882103200522534,0.1894736842105263,1.581,0.1746611985667074,0.1827768014059754,0.11328976034858387,0.4727272727272727,0.6281007417629808,0.1119098566784857,1174,407,58,52
all_orange|0.5|LGBM_regularized,all_orange,0.5,LGBM_regularized,73136,0.23904780135637715,0.1761827079934747,1.967,0.19934712144755826,0.18152866242038215,0.11003861003861004,0.5181818181818182,0.635219366338911,0.11335891123375119,1120,461,53,57
orange_uplift|1|LGBM_regularized,orange_uplift,1.0,LGBM_regularized,11896,0.03429724277067922,0.1806451612903226,0.622,0.6240316417533183,0.17982456140350878,0.11849710982658959,0.37272727272727274,0.5935598872980277,0.10183794348964605,1276,305,69,41
cell_orange|1|LGBM_regularized,cell_orange,1.0,LGBM_regularized,62943,0.2402014521074623,0.18556701030927839,1.722,0.22912731329574537,0.1769436997319035,0.12547528517110265,0.3,0.6264245874302801,0.1106117458401451,1351,230,77,33
