member,source_group,source_weight,model,source_rows,source_churn_rate,val_best_f1,train_seconds,test_threshold,test_f1,test_precision,test_recall,test_roc_auc,test_average_precision,test_tn,test_fp,test_fn,test_tp
all|1|LGBM_balanced,all,1.0,LGBM_balanced,61240,0.27882103200522534,0.1657142857142857,1.979,0.19376763353079676,0.1907514450867052,0.13983050847457626,0.3,0.6136794893910644,0.10905010894990819,1378,203,77,33
all|0.5|LGBM_regularized,all,0.5,LGBM_regularized,61240,0.27882103200522534,0.1894736842105263,2.061,0.1746611985667074,0.1827768014059754,0.11328976034858387,0.4727272727272727,0.6281007417629808,0.1119098566784857,1174,407,58,52
orange_uplift|1|LGBM_regularized,orange_uplift,1.0,LGBM_regularized,11896,0.03429724277067922,0.1806451612903226,1.165,0.6240316417533183,0.17982456140350878,0.11849710982658959,0.37272727272727274,0.5935598872980277,0.10183794348964605,1276,305,69,41
cell_orange|1|LGBM_regularized,cell_orange,1.0,LGBM_regularized,62943,0.2402014521074623,0.18556701030927839,2.035,0.22912731329574537,0.1769436997319035,0.12547528517110265,0.3,0.6264245874302801,0.1106117458401451,1351,230,77,33
