threshold,val_best_f1,test_oracle_threshold,test_oracle_f1,test_roc_auc,test_average_precision,test_tuned_f1,test_tuned_precision,test_tuned_recall,test_tuned_tn,test_tuned_fp,test_tuned_fn,test_tuned_tp,test_tuned_pred_pos_rate,test_default_f1,test_default_precision,test_default_recall,test_default_tn,test_default_fp,test_default_fn,test_default_tp,test_default_pred_pos_rate,branch,feature_set,source_group,source_weight,model,family,score_type,status,error,train_seconds,source_rows,test_precision,test_recall,tn,fp,fn,tp,blend_members,selection_rank
0.6127632864462537,0.1981981981981982,0.5388460804309975,0.16124469589816123,0.5843252256914496,0.0868866330794866,0.14153846153846153,0.10697674418604651,0.20909090909090908,1389,192,87,23,0.12714370195150798,0.1442687747035573,0.08093126385809313,0.6636363636363637,752.0,829.0,37.0,73.0,0.5334121821407452,validation_blend,blend,baza_primary_auxiliary,0.05,baza_primary_aux_weight_0.05,score_blend,normalized_validation_blend,ok,,0.0,,,,,,,,baza_feature::engineered::LogReg_L2_C03_balanced;baza_feature::core::XGBoost_d2;baza_feature::engineered::Ridge_balanced_calibrated;baza_feature::engineered::LogReg_L1_balanced;aux::all_kdd::w0.5::LGBM_regularized;aux::hf_all_orange::w0.25::LGBM_balanced;aux::ibm_cell_kdd::w0.5::LGBM_regularized;aux::cell_orange::w0.05::LR_balanced,11.0
0.07398798061712576,0.198019801980198,0.0671380028428174,0.15028901734104047,0.5730205278592375,0.08222168954471962,0.1103448275862069,0.08888888888888889,0.14545454545454545,1417,164,94,16,0.10644589000591366,0.0,0.0,0.0,1581.0,0.0,110.0,0.0,0.0,baza_feature,engineered,baza_only,0.0,Ridge_balanced_calibrated,linear,proba,ok,,0.211,,,,,,,,,12.0
0.6382514388923426,0.1971014492753623,0.5245271795077759,0.15895610913404506,0.5799781496176183,0.08460615649479224,0.11176470588235295,0.08260869565217391,0.17272727272727273,1370,211,91,19,0.1360141927853341,0.14619883040935672,0.08187772925764192,0.6818181818181818,740.0,841.0,35.0,75.0,0.5416913069189828,validation_blend,blend,baza_primary_auxiliary,0.05,best_baza_plus_best_aux_weight_0.05,score_blend,normalized_validation_blend,ok,,0.0,,,,,,,,baza_feature::engineered::LogReg_L2_C03_balanced;aux::all_kdd::w0.5::LGBM_regularized,13.0
0.5934560080577796,0.19680851063829788,0.5162282153972108,0.14427157001414426,0.5574032545569547,0.0787189431807995,0.11173184357541899,0.08064516129032258,0.18181818181818182,1353,228,90,20,0.14665878178592548,0.13414634146341464,0.07746478873239436,0.5,926.0,655.0,55.0,55.0,0.41986989946777054,baza_feature,engineered,baza_only,0.0,LogReg_L1_balanced,linear,proba,ok,,28.945,,,,,,,,,14.0
0.6928532244405416,0.19587628865979384,0.5522177850163243,0.16133942161339418,0.581547927088724,0.08606053959122789,0.0670391061452514,0.08695652173913043,0.05454545454545454,1518,63,104,6,0.04080425783560024,0.143646408839779,0.07991803278688525,0.7090909090909091,683.0,898.0,32.0,78.0,0.5771732702542874,validation_blend,blend,baza_primary_auxiliary,0.0,baza_only_top4_by_val,score_blend,normalized_validation_blend,ok,,0.0,,,,,,,,baza_feature::engineered::LogReg_L2_C03_balanced;baza_feature::core::XGBoost_d2;baza_feature::engineered::Ridge_balanced_calibrated;baza_feature::engineered::LogReg_L1_balanced,15.0
0.5969953919990484,0.1949860724233983,0.5261623576999983,0.16598639455782313,0.5873037778161118,0.08822246774839887,0.15472779369627507,0.11297071129707113,0.24545454545454545,1369,212,83,27,0.1413364872856298,0.14799154334038056,0.08373205741626795,0.6363636363636364,815.0,766.0,40.0,70.0,0.4943820224719101,validation_blend,blend,baza_primary_auxiliary,0.1,baza_primary_aux_weight_0.10,score_blend,normalized_validation_blend,ok,,0.0,,,,,,,,baza_feature::engineered::LogReg_L2_C03_balanced;baza_feature::core::XGBoost_d2;baza_feature::engineered::Ridge_balanced_calibrated;baza_feature::engineered::LogReg_L1_balanced;aux::all_kdd::w0.5::LGBM_regularized;aux::hf_all_orange::w0.25::LGBM_balanced;aux::ibm_cell_kdd::w0.5::LGBM_regularized;aux::cell_orange::w0.05::LR_balanced,16.0
0.6055896720257388,0.1940700808625337,0.5456173777352821,0.16292134831460675,0.5822494393651889,0.08967553247760457,0.14245014245014245,0.1037344398340249,0.22727272727272727,1365,216,85,25,0.14251921939680662,0.13693693693693693,0.076,0.6909090909090909,657.0,924.0,34.0,76.0,0.5913660555884093,validation_blend,blend,baza_primary_auxiliary,0.0,baza_only_top3_by_val,score_blend,normalized_validation_blend,ok,,0.0,,,,,,,,baza_feature::engineered::LogReg_L2_C03_balanced;baza_feature::core::XGBoost_d2;baza_feature::engineered::Ridge_balanced_calibrated,17.0
0.6409107156192931,0.19375,0.52554600881803,0.16310160427807488,0.5854637456155483,0.08612765453079875,0.10967741935483871,0.085,0.15454545454545454,1398,183,93,17,0.11827321111768184,0.1518987341772152,0.08591885441527446,0.6545454545454545,815.0,766.0,38.0,72.0,0.4955647545830869,validation_blend,blend,baza_primary_auxiliary,0.1,best_baza_plus_best_aux_weight_0.10,score_blend,normalized_validation_blend,ok,,0.0,,,,,,,,baza_feature::engineered::LogReg_L2_C03_balanced;aux::all_kdd::w0.5::LGBM_regularized,18.0
0.2726334146586872,0.18857142857142858,,,0.613578862630096,0.11336070113322794,0.19540229885057472,0.14285714285714285,0.3090909090909091,1377,204,76,34,,0.0,,,,,,,,auxiliary_transfer,common_schema,all_kdd,0.5,LGBM_regularized,LGBM_regularized,proba,ok,,2.778,111240.0,0.14285714285714285,0.3090909090909091,1377.0,204.0,76.0,34.0,,19.0
0.20387585665558777,0.1875,,,0.5642401242021735,0.09524249003885404,0.15734989648033126,0.10187667560321716,0.34545454545454546,1246,335,72,38,,0.0,,,,,,,,auxiliary_transfer,common_schema,hf_all_orange,0.25,LGBM_balanced,LGBM_balanced,proba,ok,,1.777,80179.0,0.10187667560321716,0.34545454545454546,1246.0,335.0,72.0,38.0,,20.0
0.2514289523538787,0.18738049713193117,,,0.6222183888218044,0.11189385532983631,0.17391304347826086,0.10978520286396182,0.41818181818181815,1208,373,64,46,,0.0,,,,,,,,auxiliary_transfer,common_schema,ibm_cell_kdd,0.5,LGBM_regularized,LGBM_regularized,proba,ok,,2.566,108090.0,0.10978520286396182,0.41818181818181815,1208.0,373.0,64.0,46.0,,21.0
