Total_SUBs,AvgMobileRevenue,AvgFIXRevenue,TotalRevenue,ARPU,Active_Ratio,Not_Active_subscribers,Mobile_Revenue_Ratio,Inactive_Ratio,CRM_PID_Value_Segment,EffectiveSegment,CHURN
-0.7768982942411042,-1.0514552861988422,-0.06996441894440315,-1.0524818331580943,-0.19091445875940413,0.757668515083139,-0.30004563090274944,0.08437284514641268,-0.7399857551980117,0.0,4.0,0
-0.6792996305880947,-1.0514552861988422,-0.06996441894440315,-1.0524818331580943,-0.48432402034155514,0.757668515083139,-0.30004563090274944,0.08437284514641268,-0.7399857551980117,0.0,4.0,0
-0.4841023032820756,-1.0514552861988422,-0.06996441894440315,-1.0524818331580943,-0.19069533287323379,-2.069266060975728,0.12457946838085027,0.08437284514641268,2.123605373679294,0.0,4.0,0
-0.6792996305880947,-1.0514552861988422,-0.06996441894440315,-1.0524818331580943,0.689314225987049,-2.3833699027600463,-0.016962231380349628,0.08437284514641268,2.441782165776772,0.0,4.0,0
-0.6792996305880947,-1.0514552861988422,-0.06996441894440315,-1.0524818331580943,-0.19069533287323379,-0.8128506938384539,-0.15850393114154954,0.08437284514641268,0.8508982052893804,2.0,4.0,0
0.2966870059420008,-1.0514552861988422,-0.06996441894440315,-1.0524818331580943,-0.19069533287323379,-3.2290340921793654,1.2569130664704495,0.08437284514641268,3.298411990654599,1.0,5.0,0
-0.5817009669350851,-1.0498952918072109,-0.06996441894440315,-1.0509321163735836,-0.6293853569863528,0.757668515083139,-0.30004563090274944,0.08437284514641268,-0.7399857551980117,0.0,4.0,1
-0.28890497597605647,-1.0498952918072109,-0.06996441894440315,-1.0509321163735836,-0.7174739632268492,-0.5884908068496546,-0.016962231380349628,0.08437284514641268,0.6236290680768958,2.0,4.0,0
-0.6792996305880947,-1.0498952918072109,-0.06996441894440315,-1.0509321163735836,-0.4821327614798513,0.757668515083139,-0.30004563090274944,0.08437284514641268,-0.7399857551980117,2.0,4.0,0
-0.8744969578941137,-1.0498952918072109,-0.06996441894440315,-1.0509321163735836,0.6963262543445012,0.757668515083139,-0.30004563090274944,0.08437284514641268,-0.7399857551980117,0.0,4.0,0
-0.6792996305880947,-1.0482377977661026,-0.06996441894440315,-1.0492855422900411,-0.4795032508458066,0.757668515083139,-0.30004563090274944,0.08437284514641268,-0.7399857551980117,0.0,4.0,0
-0.4841023032820756,-1.0482377977661026,-0.06996441894440315,-1.0492855422900411,-0.6271940981246489,-0.1846430102698164,-0.15850393114154954,0.08437284514641268,0.21454462109442368,0.0,4.0,0
-0.7768982942411042,-1.0482377977661026,-0.06996441894440315,-1.0492855422900411,-0.18368330451578133,0.757668515083139,-0.30004563090274944,0.08437284514641268,-0.7399857551980117,2.0,4.0,0
-0.5817009669350851,-1.046580303724994,-0.06996441894440315,-1.0476389682064986,-0.6254410910352858,0.757668515083139,-0.30004563090274944,0.08437284514641268,-0.7399857551980117,2.0,4.0,0
-0.38650363962906603,-1.0450203093333628,-0.06996441894440315,-1.046089251421988,-0.7130914455034415,-0.02759108937765716,-0.15850393114154954,0.08437284514641268,0.055456225045684364,0.0,4.0,0
-0.5817009669350851,-1.0450203093333628,-0.06996441894440315,-1.046089251421988,-0.4746824813500581,-0.42022089160805554,-0.15850393114154954,0.08437284514641268,0.45317721516753245,0.0,4.0,0
