iter	F1	Logloss
86	0.6446961442	0.6457289414
87	0.6449907381	0.6454043532
88	0.6453347715	0.6452427528
89	0.6514534948	0.6437870979
90	0.6514040604	0.6435986218
91	0.6513052142	0.6435986089
92	0.6512558023	0.6435607429
93	0.6513546336	0.6435427044
94	0.6498791176	0.6434936274
95	0.6497310561	0.6434914151
96	0.6544141617	0.642362997
97	0.6546628644	0.6421304634
98	0.6547623984	0.6416598193
99	0.6552605229	0.6416450959
100	0.6551608374	0.6415732968
101	0.655111006	0.6415732878
102	0.6569321042	0.6413075476
103	0.6547623984	0.6412877524
104	0.655011366	0.6412155801
105	0.6571319169	0.6404677682
106	0.655809336	0.6403739213
107	0.655809336	0.6403601597
108	0.6593522791	0.6394268199
109	0.6591016769	0.6390875081
110	0.6597666051	0.6385843559
111	0.6598166452	0.6385535521
112	0.6596665477	0.63855282
113	0.6598666928	0.638287032
114	0.6613792948	0.6382434423
115	0.6579014335	0.6380528508
116	0.6579014335	0.638052803
117	0.6606784248	0.637876767
118	0.6606784248	0.6378751127
119	0.6620869399	0.6375357901
120	0.6620368864	0.637532859
121	0.65906684	0.6369880687
122	0.6627414501	0.6365540649
123	0.6642428039	0.6363909927
124	0.6639926254	0.6362690204
125	0.6639926254	0.6362690078
126	0.6629414781	0.6357804842
127	0.6638426087	0.6355133993
128	0.6704476033	0.6352026937
129	0.6704476033	0.6352026884
130	0.6704476033	0.6351304035
131	0.6704476033	0.6351303915
132	0.6703974328	0.6347569329
133	0.6724824393	0.6346252552
134	0.6746679593	0.6338836146
135	0.6746530736	0.6334788244
136	0.6739782947	0.6329508125
137	0.6753120732	0.6326302648
138	0.675413572	0.632604121
139	0.6764902647	0.6321134188
140	0.6799027652	0.6316001006
141	0.6799027652	0.6316000865
142	0.6809657399	0.6313648395
143	0.6862225036	0.6307835117
144	0.6863757921	0.6307691088
145	0.6863757921	0.6307682116
146	0.6863757921	0.6307682036
147	0.6832074665	0.6302873757
148	0.6824415852	0.6297976475
149	0.6823905875	0.629711086
150	0.6847102758	0.6291026428
151	0.6870920448	0.6282660113
152	0.6870920448	0.6282660047
153	0.6870920448	0.6282659891
154	0.6890644152	0.627697253
155	0.686603208	0.6270689213
156	0.6848808639	0.6268807704
157	0.6848296625	0.6268807491
158	0.684932073	0.6264783767
159	0.6848808639	0.6264783525
160	0.6848984712	0.6258852407
161	0.6862366852	0.6248039823
162	0.6873991458	0.6247389858
163	0.6860820091	0.6245714201
164	0.6886614302	0.624030228
165	0.6885582261	0.6237908066
166	0.6885582261	0.6237907732
167	0.6900577202	0.6224399252
168	0.6900059048	0.6224398994
169	0.6916678666	0.6213806811
170	0.6916158091	0.6213370634
171	0.6937628312	0.6206305472
172	0.6951250054	0.6199570081
173	0.6933975286	0.6194218918
174	0.6934496912	0.6194028213
175	0.6934496912	0.6194028067
176	0.6955433011	0.6186845895
177	0.6955433011	0.618684578
178	0.6955433011	0.618684542
179	0.6951250054	0.6184798791
180	0.6967979528	0.6180240325
181	0.7023291264	0.6170404983
182	0.7026981341	0.6169007556
183	0.7026981341	0.6168100363
184	0.7003085185	0.6166160669
185	0.7005194194	0.6161292151
186	0.7011360885	0.615114147
187	0.69659387	0.6143554883
188	0.6997944072	0.6132849954
189	0.7036450284	0.6116563522
190	0.7018786976	0.6110329117
191	0.702625353	0.6105038063
192	0.702625353	0.6104653553
193	0.7025719678	0.6104029733
194	0.7031061853	0.6097354023
195	0.7046320044	0.6093145445
196	0.7052213038	0.6088588546
197	0.7025399406	0.6081983762
198	0.7046600202	0.6072994717
199	0.7047674344	0.6072694377
200	0.7041499143	0.606720347
201	0.7056907269	0.6050210999
202	0.7078651578	0.6038601381
203	0.7101168175	0.6028797022
204	0.7103904441	0.6015320513
205	0.7090668163	0.6008950998
206	0.7121492309	0.5999970726
207	0.7092742035	0.5987925819
208	0.7108769732	0.5981601218
209	0.713359104	0.5964951132
210	0.7140774907	0.5950344025
211	0.716286611	0.5929318578
212	0.7202581199	0.5918108547
213	0.723161324	0.5912681649
214	0.7229937839	0.590633924
215	0.7253811509	0.5899969423
216	0.7237984452	0.5891265976
217	0.7243008721	0.5877064418
218	0.724524397	0.586718795
219	0.7222418445	0.5856730206
220	0.7228011742	0.5846237687
221	0.7228011742	0.5838947812
222	0.722969142	0.583325619
223	0.7252340558	0.5817533501
224	0.7255150663	0.5814862108
225	0.7252340558	0.5798939247
226	0.7264015008	0.5786247291
227	0.7290240457	0.5776645775
228	0.7338494335	0.5758592768
229	0.73579246	0.5743983294
230	0.7372088506	0.5730853342
231	0.7405785253	0.5722035053
232	0.7426258122	0.5705812644
233	0.7414449657	0.5698145486
234	0.7438611311	0.5688284277
235	0.7497551701	0.567916954
236	0.7492884104	0.5667771551
237	0.7522544474	0.5656363231
238	0.7531882816	0.5648071984
239	0.7554582427	0.5639563975
240	0.7567888639	0.5624924434
241	0.7574345541	0.5615614734
242	0.7603223373	0.5606594164
243	0.7619974171	0.5597627114
244	0.7631981617	0.5589406887
245	0.7641009745	0.5580701679
246	0.7680870535	0.5567168924
247	0.7697443826	0.5561528206
248	0.7734170259	0.5545775249
249	0.7742627401	0.5531516985
250	0.7731965805	0.5520915102
251	0.778819458	0.5507889608
252	0.7770636085	0.5496697937
253	0.7770233968	0.5482344582
254	0.7795671345	0.5470674187
255	0.7817700976	0.5467602765
256	0.7837305434	0.5460389373
257	0.7848406758	0.5456530482
258	0.7849618463	0.545044631
259	0.7873321707	0.5432953547
260	0.7872712144	0.5428730588
261	0.7867711055	0.5421236039
262	0.7874541118	0.5408911475
263	0.7889881393	0.5402388101
264	0.7907624211	0.5389997159
265	0.7943095556	0.5378023529
266	0.7928441449	0.5370565601
267	0.792782853	0.5363293268
268	0.7942482092	0.5359660824
269	0.795587988	0.534823198
270	0.7964481933	0.5340438011
271	0.7974335656	0.5329300213
272	0.7975569086	0.5323489365
273	0.7991417666	0.5314416379
274	0.8031381272	0.530562522
275	0.8040050489	0.5297158866
276	0.803633282	0.5294123644
277	0.8060353908	0.5290263433
278	0.8061593318	0.5283338339
279	0.808859566	0.5278548129
280	0.8120456383	0.5263803314
281	0.8128551078	0.5251153648
282	0.8136661926	0.524183698
283	0.8149762657	0.5234442315
284	0.8155390179	0.5225094475
285	0.8144788977	0.521438411
286	0.8154186541	0.5203062907
287	0.8180376599	0.5194046119
288	0.819594165	0.5186135576
289	0.8211481885	0.5174220105
290	0.8213370018	0.5162366706
291	0.8213999589	0.5159009296
292	0.8226367491	0.5153493465
293	0.8239336331	0.514450398
294	0.8233669139	0.5135588125
295	0.8233039932	0.5130834346
296	0.8234927841	0.5125914203
297	0.8232410821	0.5119307054
298	0.8233669139	0.5115503033
299	0.8236186928	0.5109078011
300	0.8238076281	0.5101624642
301	0.8240596766	0.5097741252
302	0.8245642367	0.5093637142
303	0.8241857587	0.5088394378
304	0.8238706257	0.5086140961
305	0.8230148168	0.5082152813
306	0.8238351567	0.5074597503
307	0.8246571336	0.5064752939
308	0.8258916514	0.5058562644
309	0.8262716981	0.5047827086
310	0.8276302206	0.5039655869
311	0.8287956556	0.5033512042
312	0.8289859559	0.5030678274
313	0.8294938508	0.5021913914
314	0.8296844719	0.5017612485
315	0.8323884566	0.5008431958
316	0.8320068431	0.5000832709
317	0.832070421	0.4999287089
318	0.8322612132	0.49895481
319	0.8330252576	0.4980078276
320	0.8346286206	0.4974666191
321	0.8335354004	0.497094346
322	0.8361019355	0.4965130263
323	0.8359103917	0.4960307123
324	0.8356551365	0.4957814551
325	0.8361658029	0.495256421
326	0.8417133474	0.4940797964
327	0.8436868292	0.4931502085
328	0.8434943272	0.4922058055
329	0.8433660413	0.4917776313
330	0.8438794191	0.49081019
331	0.844586335	0.4903677596
332	0.8443291377	0.4897064028
333	0.8442648629	0.489485713
334	0.8443934224	0.4888417469
335	0.8444577168	0.4881895284
336	0.844522021	0.4877253219
337	0.844522021	0.4873847501
338	0.8446506589	0.4869636226
339	0.8463673511	0.486457404
340	0.8478241191	0.4857621175
341	0.8504072753	0.4847507994
342	0.8493429001	0.4836975606
343	0.8499241801	0.4827882172
344	0.849794938	0.4824392192
345	0.8498595541	0.4820724296
346	0.8483402575	0.4812700117
347	0.8486631633	0.4805077604
348	0.848727774	0.4798584386
349	0.848986315	0.4792240927
350	0.849374422	0.4787210972
351	0.849439141	0.4785163782
352	0.8496333572	0.4775060625
353	0.8501517016	0.4764615172
354	0.8504759881	0.4758549418
355	0.851478157	0.4751980179
356	0.8523872706	0.4742109505
357	0.85403683	0.4733506977
358	0.8541670301	0.473090195
359	0.8550330348	0.4716868856
360	0.8551632041	0.4713385812
361	0.856091517	0.4706452039
362	0.8573296184	0.4698017265
363	0.85765603	0.4694916047
364	0.8585157134	0.4690462949
365	0.8600909207	0.4686725928
366	0.8588421937	0.4682129213
367	0.8592996834	0.467718434
368	0.8592342979	0.4674751188
369	0.860548574	0.4671964758
370	0.8606794216	0.4665634296
371	0.8636277092	0.4654014916
372	0.863562165	0.4652828918
373	0.8636932634	0.4651168489
374	0.8640211836	0.4647961692
375	0.8639555797	0.4642878249
376	0.8638244016	0.4638295649
377	0.8636277092	0.4634220921
378	0.863562165	0.4632336802
379	0.8636932634	0.4628232686
380	0.8650653943	0.4620256038
381	0.8650653943	0.4617949934
382	0.8642836991	0.4612874648
383	0.865524849	0.4602144636
384	0.8658533298	0.4599373138
385	0.8673549334	0.4590415422
386	0.8688541693	0.4587556907
387	0.8678156599	0.4583614752
388	0.8677498119	0.4577662201
389	0.8677498119	0.4572264898
390	0.8708571685	0.45686219
391	0.8725461028	0.456203403
392	0.8739692313	0.4555493977
393	0.8750258598	0.4536787217
394	0.8752242621	0.453089425
395	0.8752904162	0.4525658182
396	0.8738662742	0.4519898657
397	0.8740646446	0.4515549498
398	0.8756213368	0.4512820272
399	0.87472653	0.4508296184
400	0.874263105	0.4502593015
401	0.8732330839	0.4499432532
402	0.8760850463	0.4493990158
403	0.8766819663	0.4488473537
404	0.8766819663	0.4487940677
405	0.8757212399	0.4484930528
406	0.8795914836	0.4476003289
407	0.87992401	0.4465281049
408	0.878835942	0.4453826187
409	0.8776121271	0.4447499146
410	0.878277737	0.4442167659
411	0.8784109802	0.4438372488
412	0.8784109802	0.4436017511
413	0.878277737	0.4432280421
414	0.8784776169	0.4428140926
415	0.8784109802	0.4425410435
416	0.8792780472	0.441614253
417	0.8803688165	0.4413704491
418	0.880569151	0.4410601209
419	0.880702758	0.4408675501
420	0.880702758	0.4405254758
421	0.8808364055	0.4401371035
422	0.8809700936	0.4397453593
423	0.8811038223	0.4394234183
424	0.8810369528	0.4391661693
425	0.8809700936	0.438414265
426	0.8821250059	0.4382981005
427	0.8809700936	0.4377706397
428	0.8809700936	0.4376188008
429	0.8812375915	0.4368950055
430	0.8843484892	0.4365996077
431	0.8846837925	0.4361462118
432	0.8845496407	0.4358132676
433	0.8823762725	0.4351352053
434	0.8815538745	0.4346666238
435	0.8828459969	0.4342365955
436	0.8829802958	0.434017928
437	0.8840683242	0.4336001349
438	0.8850864923	0.4330256593
439	0.8839340274	0.4322946318
440	0.8839340274	0.4318333905
441	0.8880555137	0.4311253958
442	0.8878537608	0.4307460174
443	0.8877865303	0.4301330297
444	0.8882573583	0.4295785198
445	0.8882573583	0.4292383012
446	0.8881900666	0.4287129307
447	0.8898059009	0.4283826001
448	0.8885266272	0.4282656529
449	0.8910151916	0.4276793311
450	0.8909478125	0.4274942118
451	0.8912848101	0.4269991901
452	0.8913522402	0.4263012425
453	0.8916220627	0.4259643936
454	0.8915545918	0.4255720666
455	0.8903451567	0.4250375705
456	0.8918245369	0.4243855436
457	0.8917570353	0.423863726
458	0.8916895439	0.4235095616
459	0.8916895439	0.4234015317
460	0.8915545918	0.4231704167
461	0.8912848101	0.4227985805
462	0.8914196805	0.4225110116
463	0.8917570353	0.4216670309
464	0.892027103	0.4214111661
465	0.8918920487	0.4213248305
466	0.8942356561	0.4208530871
467	0.8944383278	0.4203662409
468	0.8945059055	0.4199908677
469	0.8955207971	0.4188562786
470	0.8955207971	0.418278548
471	0.8956562901	0.4181365507
472	0.8956562901	0.4180325682
473	0.894926105	0.4172359432
474	0.894926105	0.4167884907
475	0.8960630149	0.4162147909
476	0.8959952018	0.4161284532
477	0.8949939214	0.415829367
478	0.8952652898	0.41526086
479	0.8954689242	0.414956028
480	0.8956047319	0.4148392973
481	0.8958085207	0.4144629096
482	0.8957405807	0.4143821433
483	0.8959444314	0.4137892085
484	0.8960803834	0.4133156325
485	0.8961483748	0.4126331144
486	0.8962163766	0.4122764447
487	0.8962163766	0.4118896877
488	0.8966246041	0.4112692327
489	0.8966246041	0.4106578142
490	0.8972376432	0.4103644793
491	0.8973739879	0.4100801522
492	0.8975103742	0.409717058
493	0.8973739879	0.4093064958
494	0.8975103742	0.409260533
495	0.8979880525	0.4085462046
496	0.8981246255	0.408025806
497	0.8987397181	0.4076452269
498	0.8989449363	0.4073078657
499	0.8987397181	0.4070889183
