iter	F1	Logloss
0	0.5888192881	0.6906574833
1	0.6281480807	0.6889242242
2	0.6045346309	0.6878199089
3	0.5990325172	0.6870912602
4	0.602975746	0.6861047418
5	0.6027766698	0.6844523906
6	0.6042040725	0.6837565798
7	0.6034604682	0.6821926761
8	0.6053458824	0.6810908507
9	0.6052630688	0.6803850901
10	0.6045233448	0.6798573642
11	0.6071853989	0.6790337906
12	0.6063181798	0.6785568295
13	0.611641274	0.6780124807
14	0.6117012279	0.6765272751
15	0.6117012279	0.6765272347
16	0.6088813332	0.6760863483
17	0.6082385153	0.6755344205
18	0.6091572427	0.674908521
19	0.6085628814	0.6735725705
20	0.6105764051	0.6734058391
21	0.6108989666	0.6733324929
22	0.6116517265	0.6716559714
23	0.6126738646	0.6711952342
24	0.6112008609	0.6706840189
25	0.6089407439	0.6701401011
26	0.6094058084	0.6693502315
27	0.6141667241	0.6679776406
28	0.612663151	0.6678302244
29	0.6098405666	0.6672888419
30	0.6079234895	0.6671899543
31	0.6152992561	0.6663624201
32	0.6120551057	0.6660127734
33	0.6120551057	0.6660127713
34	0.612338971	0.6656856656
35	0.6080658885	0.6647826033
36	0.6189805702	0.6643450334
37	0.6222955009	0.6638370402
38	0.6217752465	0.6635239491
39	0.6229589034	0.6622483274
40	0.6233769571	0.662194905
41	0.6233296272	0.662157716
42	0.6231403797	0.6621147964
43	0.6247860704	0.6615963955
44	0.6270720016	0.6606572649
45	0.6269772213	0.6606572495
46	0.6277362669	0.6594342101
47	0.6265983865	0.6592919847
48	0.6328286588	0.6579063346
49	0.6317224064	0.6574475456
50	0.6307208023	0.6573405294
51	0.6325898794	0.6563536008
52	0.6325898794	0.6562362382
53	0.6315692122	0.6554637777
54	0.6353197236	0.6553243402
55	0.6353197236	0.6553243384
56	0.6367066369	0.6552352689
57	0.6340732228	0.65505208
58	0.633014867	0.6546353402
59	0.6344571511	0.6546331217
60	0.633014867	0.654603998
61	0.6374760631	0.6543763989
62	0.6340237763	0.6539813445
63	0.6352317342	0.6533245948
64	0.635765358	0.6526454711
65	0.6353771791	0.652575717
66	0.6354256755	0.6524559116
67	0.6359544322	0.6521233466
68	0.6361965913	0.6520052724
69	0.6362935065	0.6517906864
70	0.6354223307	0.6515258526
71	0.6413999961	0.6508395283
72	0.6405724545	0.6505191552
73	0.6399410679	0.6499888555
74	0.6411818927	0.6496564026
75	0.6410362968	0.6496537128
76	0.6383088439	0.6493582023
77	0.6382604091	0.649342612
78	0.6391008202	0.6486024445
79	0.6403497636	0.648453412
80	0.6405169935	0.6475743336
81	0.6407617959	0.6475623468
82	0.640614892	0.6475551771
83	0.6441412029	0.6465666307
84	0.646278788	0.6464349434
85	0.6451872837	0.6461875412
